Chronologic VCS simulator copyright 1991-2011
Contains Synopsys proprietary information.
Compiler version E-2011.03_Full64; Runtime version E-2011.03_Full64;  Jan 25 15:04 2013
STARTING TESTBENCH!

  i=          0  reset=1  state=xx  in=0  out=x  correct=1
  i=          0  reset=0  state=00  in=0  out=0  correct=1
  i=          0  reset=0  state=00  in=1  out=0  correct=1
  i=          0  reset=0  state=01  in=1  out=0  correct=1
  i=          0  reset=0  state=01  in=0  out=0  correct=1
  i=          0  reset=0  state=10  in=1  out=0  correct=1
  i=          0  reset=0  state=11  in=0  out=1  correct=1
  i=          0  reset=0  state=10  in=0  out=0  correct=1
  i=          0  reset=0  state=00  in=0  out=0  correct=1
  i=          0  reset=1  state=00  in=0  out=0  correct=1
  i=          1  reset=0  state=00  in=1  out=0  correct=1
  i=          2  reset=0  state=01  in=1  out=0  correct=1
  i=          3  reset=0  state=01  in=1  out=0  correct=1
  i=          4  reset=0  state=01  in=1  out=0  correct=1
  i=          5  reset=0  state=01  in=1  out=0  correct=1
  i=          6  reset=0  state=01  in=1  out=0  correct=1
  i=          7  reset=0  state=01  in=0  out=0  correct=1
  i=          8  reset=0  state=10  in=1  out=0  correct=1
  i=          9  reset=0  state=11  in=1  out=1  correct=1
  i=         10  reset=1  state=01  in=0  out=0  correct=1
  i=         11  reset=0  state=00  in=1  out=0  correct=1
  i=         12  reset=0  state=01  in=1  out=0  correct=1
  i=         13  reset=0  state=01  in=0  out=0  correct=1
  i=         14  reset=0  state=10  in=1  out=0  correct=1
  i=         15  reset=0  state=11  in=0  out=1  correct=1
  i=         16  reset=0  state=10  in=1  out=0  correct=1
  i=         17  reset=0  state=11  in=0  out=1  correct=1
  i=         18  reset=0  state=10  in=1  out=0  correct=1
  i=         19  reset=0  state=11  in=1  out=1  correct=1
  i=         20  reset=1  state=01  in=0  out=0  correct=1
  i=         21  reset=0  state=00  in=1  out=0  correct=1
  i=         22  reset=0  state=01  in=0  out=0  correct=1
  i=         23  reset=0  state=10  in=0  out=0  correct=1
  i=         24  reset=0  state=00  in=0  out=0  correct=1
  i=         25  reset=0  state=00  in=1  out=0  correct=1
  i=         26  reset=0  state=01  in=0  out=0  correct=1
  i=         27  reset=0  state=10  in=1  out=0  correct=1
  i=         28  reset=0  state=11  in=1  out=1  correct=1
  i=         29  reset=0  state=01  in=1  out=0  correct=1
  i=         30  reset=1  state=01  in=1  out=0  correct=1
  i=         31  reset=0  state=00  in=0  out=0  correct=1
  i=         32  reset=0  state=00  in=0  out=0  correct=1
  i=         33  reset=0  state=00  in=0  out=0  correct=1
  i=         34  reset=0  state=00  in=0  out=0  correct=1
  i=         35  reset=0  state=00  in=1  out=0  correct=1
  i=         36  reset=0  state=01  in=0  out=0  correct=1
  i=         37  reset=0  state=10  in=1  out=0  correct=1
  i=         38  reset=0  state=11  in=1  out=1  correct=1
  i=         39  reset=0  state=01  in=1  out=0  correct=1
  i=         40  reset=1  state=01  in=1  out=0  correct=1
  i=         41  reset=0  state=00  in=1  out=0  correct=1
  i=         42  reset=0  state=01  in=0  out=0  correct=1
  i=         43  reset=0  state=10  in=0  out=0  correct=1
  i=         44  reset=0  state=00  in=1  out=0  correct=1
  i=         45  reset=0  state=01  in=1  out=0  correct=1
  i=         46  reset=0  state=01  in=1  out=0  correct=1
  i=         47  reset=0  state=01  in=0  out=0  correct=1
  i=         48  reset=0  state=10  in=0  out=0  correct=1
  i=         49  reset=0  state=00  in=0  out=0  correct=1
  i=         50  reset=1  state=00  in=0  out=0  correct=1
  i=         51  reset=0  state=00  in=0  out=0  correct=1
  i=         52  reset=0  state=00  in=1  out=0  correct=1
  i=         53  reset=0  state=01  in=0  out=0  correct=1
  i=         54  reset=0  state=10  in=0  out=0  correct=1
  i=         55  reset=0  state=00  in=1  out=0  correct=1
  i=         56  reset=0  state=01  in=1  out=0  correct=1
  i=         57  reset=0  state=01  in=0  out=0  correct=1
  i=         58  reset=0  state=10  in=0  out=0  correct=1
